//char	type	Width	Filename
〃	item	8	FontItem〃.png
啰	item	11	FontItem啰.png
《	item	11	FontItem《.png
》	item	6	FontItem》.png
啊	item	9	FontItem啊.png
阿	item	9	FontItem阿.png
埃	item	11	FontItem埃.png
哎	item	11	FontItem哎.png
唉	item	11	FontItem唉.png
哀	item	11	FontItem哀.png
蔼	item	11	FontItem蔼.png
艾	item	9	FontItem艾.png
碍	item	11	FontItem碍.png
爱	item	9	FontItem爱.png
鞍	item	11	FontItem鞍.png
安	item	9	FontItem安.png
俺	item	11	FontItem俺.png
按	item	9	FontItem按.png
暗	item	9	FontItem暗.png
岸	item	9	FontItem岸.png
案	item	9	FontItem案.png
肮	item	11	FontItem肮.png
昂	item	9	FontItem昂.png
熬	item	11	FontItem熬.png
翱	item	9	FontItem翱.png
傲	item	9	FontItem傲.png
奥	item	9	FontItem奥.png
懊	item	11	FontItem懊.png
吧	item	9	FontItem吧.png
八	item	9	FontItem八.png
疤	item	9	FontItem疤.png
巴	item	8	FontItem巴.png
拔	item	9	FontItem拔.png
跋	item	11	FontItem跋.png
靶	item	11	FontItem靶.png
把	item	9	FontItem把.png
霸	item	9	FontItem霸.png
罢	item	11	FontItem罢.png
爸	item	9	FontItem爸.png
白	item	8	FontItem白.png
百	item	9	FontItem百.png
摆	item	9	FontItem摆.png
败	item	9	FontItem败.png
拜	item	9	FontItem拜.png
班	item	9	FontItem班.png
搬	item	11	FontItem搬.png
般	item	9	FontItem般.png
板	item	9	FontItem板.png
版	item	9	FontItem版.png
扮	item	11	FontItem扮.png
拌	item	10	FontItem拌.png
伴	item	9	FontItem伴.png
半	item	9	FontItem半.png
办	item	9	FontItem办.png
绊	item	9	FontItem绊.png
帮	item	9	FontItem帮.png
榜	item	9	FontItem榜.png
膀	item	9	FontItem膀.png
棒	item	11	FontItem棒.png
胞	item	9	FontItem胞.png
包	item	9	FontItem包.png
剥	item	11	FontItem剥.png
薄	item	11	FontItem薄.png
保	item	9	FontItem保.png
堡	item	10	FontItem堡.png
饱	item	9	FontItem饱.png
宝	item	9	FontItem宝.png
抱	item	9	FontItem抱.png
报	item	9	FontItem报.png
暴	item	9	FontItem暴.png
爆	item	9	FontItem爆.png
杯	item	10	FontItem杯.png
悲	item	9	FontItem悲.png
卑	item	9	FontItem卑.png
北	item	9	FontItem北.png
辈	item	9	FontItem辈.png
背	item	9	FontItem背.png
贝	item	9	FontItem贝.png
倍	item	9	FontItem倍.png
备	item	9	FontItem备.png
惫	item	9	FontItem惫.png
被	item	9	FontItem被.png
奔	item	9	FontItem奔.png
本	item	9	FontItem本.png
笨	item	11	FontItem笨.png
崩	item	9	FontItem崩.png
绷	item	11	FontItem绷.png
逼	item	9	FontItem逼.png
鼻	item	11	FontItem鼻.png
比	item	8	FontItem比.png
鄙	item	11	FontItem鄙.png
笔	item	11	FontItem笔.png
彼	item	9	FontItem彼.png
碧	item	9	FontItem碧.png
蔽	item	11	FontItem蔽.png
毕	item	9	FontItem毕.png
币	item	9	FontItem币.png
痹	item	11	FontItem痹.png
闭	item	8	FontItem闭.png
弊	item	11	FontItem弊.png
必	item	8	FontItem必.png
壁	item	9	FontItem壁.png
臂	item	9	FontItem臂.png
避	item	9	FontItem避.png
陛	item	11	FontItem陛.png
鞭	item	9	FontItem鞭.png
边	item	9	FontItem边.png
